QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
