QUADRAT,SQUARE,ELODEA,CDEM,PPUS,PNOD,PEPI,PPER,PPEC,PCRI,ZPAL,MSPI,VAL,NFLEX,HDUB,PSPI,NMINOR,UTRICULARIA
2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,7,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,15,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
